Model,Group,Type,MAPE
Base,Random,Random,2.720497432
SOC30,Random,Random,3.057845919
SOC30,Random,Random,3.358686351
SOC30,Random,Random,3.229788377
SOC30,Random,Random,3.308390579
SOC30,Random,Random,3.351914851
SOC30,Random,Random,3.245855065
SOC30,Random,Random,3.680828221
SOC30,Random,Random,3.301910961
SOC30,Random,Random,2.957233903
SOC30,Random,Random,3.113594437
SOC40,Random,Random,3.136219917
SOC40,Random,Random,3.119382554
SOC40,Random,Random,3.215332104
SOC40,Random,Random,3.133544691
SOC40,Random,Random,3.248542424
SOC40,Random,Random,3.250166208
SOC40,Random,Random,3.422284886
SOC40,Random,Random,3.10013835
SOC40,Random,Random,3.187755391
SOC40,Random,Random,3.284023403
SOC50,Random,Random,3.24071968
SOC50,Random,Random,3.312283385
SOC50,Random,Random,3.290924571
SOC50,Random,Random,3.357724849
SOC50,Random,Random,3.230931803
SOC50,Random,Random,3.529697027
SOC50,Random,Random,3.304536214
SOC50,Random,Random,3.139628324
SOC50,Random,Random,3.645627389
SOC50,Random,Random,3.463272992
Base,Fixed,Fixed,3.4955422
Base,Fixed,Fixed,3.419727233
Base,Fixed,Fixed,3.567004513
Base,Fixed,Fixed,2.732883804
Base,Fixed,Fixed,2.725808159
Base,Fixed,Fixed,2.462448184
Base,Fixed,Fixed,3.015492494
Base,Fixed,Fixed,2.546188768
Base,Fixed,Fixed,2.312957167
Base,Fixed,Fixed,3.297296092
SOC30,Fixed,Fixed,3.476848219
SOC30,Fixed,Fixed,3.802644079
SOC30,Fixed,Fixed,2.758261125
SOC30,Fixed,Fixed,2.786866641
SOC30,Fixed,Fixed,2.930862914
SOC30,Fixed,Fixed,4.414677276
SOC30,Fixed,Fixed,2.738187862
SOC30,Fixed,Fixed,2.835205098
SOC30,Fixed,Fixed,3.808344838
SOC30,Fixed,Fixed,2.869923703
SOC40,Fixed,Fixed,3.232845543
SOC40,Fixed,Fixed,3.275096507
SOC40,Fixed,Fixed,3.107005135
SOC40,Fixed,Fixed,3.318014923
SOC40,Fixed,Fixed,3.133016239
SOC40,Fixed,Fixed,3.738366958
SOC40,Fixed,Fixed,2.812067383
SOC40,Fixed,Fixed,3.178942309
SOC40,Fixed,Fixed,3.03154563
SOC40,Fixed,Fixed,3.113811027
SOC50,Fixed,Fixed,2.902537032
SOC50,Fixed,Fixed,2.835816337
SOC50,Fixed,Fixed,4.0886837
SOC50,Fixed,Fixed,3.049973657
SOC50,Fixed,Fixed,3.270612083
SOC50,Fixed,Fixed,4.394665168
SOC50,Fixed,Fixed,3.508181135
SOC50,Fixed,Fixed,3.612558591
SOC50,Fixed,Fixed,3.646300679
SOC50,Fixed,Fixed,2.959191479
